product_id,product_category,product_brand,product_series,product_name,product_storage,ram,product_variant,product_color,product_country,product_base_price,product_description,product_image,months_0_3,months_3_6,months_6_11,months_11_more,scratch_screen_1_2,scratch_screen_3_4,multiple_scratches_screen,no_problem,back_glass_broken,loose_screen,touch_not_working,dots_on_display,no_display,glass_cracked,lines_on_display,color_fade,flickering,scratch_body_1_2,scratch_body_3_4,multiple_scratches_body,body_curved,dents_1_or_2,multiple_dents,sensor_issues,front_camera_not_working,back_camera_not_working,volume,finger_print_not_working,face_id_not_working,wifi_issues,vibrator,battery_faulty,charging_port_issue,speaker_not_working,audio_ic_problem,power_button_issue,bluetooth_issue,camera_glass_broken,headphone_jackissue,battery_less_80,battery_greater_80,box,charger,invoice,product_status
33,1,1,9,Apple iPhone XR,128 GB,3 GB,3 GB|128 GB|India,,India,14500,Apple iPhone XR Mobile,iPhone_XR.jpg,0.01,12,16,29,2,4.5,7,,7,6,20,50,35,25,50,50,50,1,4,7,15,1,10,5,5,11,6,0.5,35,25,7,11,6,7,7,6,25,2,5,10,5,3,3,0.01,1
34,1,1,9,Apple iPhone XR,64 GB,3 GB,3 GB|64 GB|India,,India,12500,Apple iPhone XR Mobile,IMG_6761.jpeg,0.01,11,19,29,2,4.5,7,,7,6,20,50,35,25,50,50,50,1,4,7,15,1,10,5,5,11,6,0.5,35,25,7,11,6,7,7,6,25,2,5,10,5,3,3,0.01,1
35,1,1,4,Apple iPhone 11,64 GB,4 GB,4 GB|64 GB|India,,India,16500,Apple iPhone 11 Mobile,iPhone_11.jpg,0.01,9,15,25,2,4.5,7,,7,6,20,50,35,25,50,50,50,1,4,7,15,1,10,5,8,12,7,15,30,28,7,17,8,9,8,7,28,3,5,10,5,3,3,0.01,1
36,1,1,4,Apple iPhone 11,128 GB,4 GB,4 GB|128 GB|India,,India,18600,Apple iPhone 11 Mobile,iPhone_11.jpg,0.01,9,18,25,2,4.5,7,,7,6,20,50,35,25,50,50,50,1,4,7,15,1,10,5,8,12,7,15,30,28,7,17,8,9,8,7,28,3,5,10,5,3,3,0.01,1
37,1,1,4,Apple iPhone 11,256 GB,4 GB,4 GB|256 GB|India,,India,19900,Apple iPhone 11 Mobile,iPhone_11.jpg,0.01,10,18,25,2,4.5,7,,7,6,20,50,35,25,50,50,50,1,4,7,15,1,10,5,8,12,7,15,30,28,7,17,8,9,8,7,28,3,5,10,5,3,3,0.01,1
38,1,1,4,Apple iPhone 11 Pro,64 GB,4 GB,4 GB|64 GB|India,,India,19500,Apple iPhone 11Pro Mobile,iPhone_11pro.jpg,0.01,12,21,25,2,4.5,7,,10,6,20,50,35,25,50,50,50,1,4,7,15,1,10,5,8,15,6,15,30,30,8,15,8,9,9,7,30,3,5,10,5,3,3,0.01,1
39,1,1,4,Apple iPhone 11 Pro,256 GB,4 GB,4 GB|256 GB|India,,India,22000,Apple iPhone 11Pro Mobile,iPhone_11pro.jpg,0.01,12,20,25,2,3.5,5,,9,5,20,50,35,30,50,50,50,1,3.5,6,14,2,9,5,8,15,6,15,30,30,8,15,8,9,9,7,30,3,5,10,5,3,3,0.01,1
40,1,1,4,Apple iPhone 11 Pro,512 GB,4 GB,4 GB|512 GB|India,,India,24500,Apple iPhone 11Pro Mobile,iPhone_11pro.jpg,0.01,12,21,25,2,3.5,5,,9,5,20,50,35,30,50,50,50,1,3.5,6,14,2,9,5,8,15,6,15,30,30,8,15,8,9,9,7,30,3,5,10,5,3,3,0.01,1
41,1,1,4,Apple iPhone 11 Pro Max,64 GB,4 GB,4 GB|64 GB|India,,India,22500,Apple iPhone 11Pro Max Mobile,iPhone_11x.jpg,0.01,12,20,26,2,3.5,5,,9,5,20,50,35,30,50,50,50,1,3.5,6,14,2,9,5,8,15,6,15,30,30,8,15,8,9,9,7,30,3,5,10,5,3,3,0.01,1
42,1,1,4,Apple iPhone 11 Pro Max,256 GB,4 GB,4 GB|256 GB|India,,India,25000,Apple iPhone 11Pro Max Mobile,iPhone_11x.jpg,0.01,12,20,26,2,3.5,5,,9,8,20,50,35,30,50,50,50,1,3.5,6,14,2,9,5,8,15,6,15,30,30,8,15,8,9,9,7,30,4,5,10,5,3,3,0.01,1
43,1,1,4,Apple iPhone 11 Pro Max,512 GB,4 GB,4 GB|512 GB|India,,India,28000,Apple iPhone 11Pro Max Mobile,iPhone_11x.jpg,0.01,12,20,26,2,3.5,5,,9,5,20,50,35,30,50,50,50,1,3.5,6,14,2,9,5,8,15,6,15,30,30,8,15,8,9,9,7,30,4,5,10,5,3,3,0.01,1
65,1,1,5,Apple iPhone 12 Mini,64 GB,4 GB,4 GB|64 GB|India,,India,17000,Apple iPhone 12 Mini Mobile,IMG_6763.jpeg,0.01,8,14,25,2,3.5,5,,10,5,20,50,35,34,50,50,50,1,3.5,6,15,2,10,5,9,15,6,20,27,25,8,15,11,10,10,7,20,5,5,10,5,3,3,0.01,1
66,1,1,5,Apple iPhone 12 Mini,128 GB,4 GB,4 GB|128 GB|India,,India,19800,Apple iPhone 12 Mini Mobile,IMG_6764.jpeg,0.01,8,14,25,2,3.5,5,,10,5,20,50,35,33,50,50,50,1,3.5,6,15,2,10,5,9,15,6,20,27,25,8,15,11,10,10,7,20,5,5,10,5,3,3,0.01,1
67,1,1,5,Apple iPhone 12 Mini,256 GB,4 GB,4 GB|256 GB|India,,India,21500,Apple iPhone 12 Mini Mobile,iPhone_12mini.jpg,0.01,11,18,25,1.5,4.25,7,,10,5,20,50,35,31,50,50,50,1.5,4.75,8,18,3,10,5,9,15,6,20,27,25,8,15,11,10,10,7,20,5,5,10,5,3,3,0.01,1
62,1,1,5,Apple iPhone 12,64 GB,4 GB,4 GB|64 GB|India,,India,19900,Apple iPhone 12 Mobile,IMG_6764.jpeg,0.01,9,17,24,2,3.5,5,,10,5,20,50,35,40,50,50,50,1,3.5,6,15,2,10,5,9,15,6,20,25,25,8,15,10,10,10,7,20,5,5,10,5,3,3,0.01,1
63,1,1,5,Apple iPhone 12,128 GB,4 GB,4 GB|128 GB|India,,India,22000,Apple iPhone 12 Mobile,iPhone_12.jpg,0.01,10,17,24,2,3.5,5,,10,5,20,50,35,40,50,50,50,1,3.5,6,15,2,10,5,9,15,6,20,25,25,8,15,10,10,10,7,20,5,5,10,5,3,3,0.01,1
64,1,1,5,Apple iPhone 12,256 GB,4 GB,4 GB|256 GB|India,,India,24000,Apple iPhone 12 Mobile,iPhone_12.jpg,0.01,8,14,24,2,3.5,5,,10,5,20,50,35,40,50,50,50,1,3.5,6,15,2,10,5,9,15,6,20,25,25,8,15,10,10,10,7,20,5,5,10,5,3,3,0.01,1
68,1,1,5,Apple iPhone 12 Pro,128 GB,6 GB,6 GB|128 GB|India,,India,31500,Apple iPhone 12 Pro Mobile,iPhone_12_Pro.jpg,0.01,11,19,26,2,3.5,5,,9,5,20,50,35,35,50,50,50,1,3.5,6,14,2,9,5,8,15,6,20,25,27,8,15,8,9,9,7,25,5,5,10,5,3,3,0.01,1
69,1,1,5,Apple iPhone 12 Pro,256 GB,6 GB,6 GB|256 GB|India,,India,34000,Apple iPhone 12 Pro Mobile,iPhone_12_Pro.jpg,0.01,11,20,25,2,3.5,5,,9,5,20,50,35,33,50,50,50,1,3.5,6,14,2,9,5,8,15,6,20,25,27,8,15,8,9,9,7,25,5,5,10,5,3,3,0.01,1
70,1,1,5,Apple iPhone 12 Pro,512 GB,6 GB,6 GB|512 GB|India,,India,37500,Apple iPhone 12 Pro Mobile,iPhone_12_Pro.jpg,0.01,11,20,27,2,3.5,5,,9,5,20,50,35,32,50,50,50,1,3.5,6,14,2,9,5,8,15,6,20,25,27,8,15,8,9,9,7,25,5,5,10,5,3,3,0.01,1
71,1,1,5,Apple iPhone 12 Pro Max,128 GB,6 GB,6 GB|128 GB|India,,India,34500,Apple iPhone 12 Pro Max Mobile,iPhone_12_Pro_Max.jpg,0.01,10,19,27,2,3.5,5,,9,5,20,50,35,34,50,50,50,1,3.5,6,14,2,9,5,8,15,6,20,25,27,8,15,8,9,9,7,25,5,5,10,5,3,3,0.01,1
72,1,1,5,Apple iPhone 12 Pro Max,256 GB,6 GB,6 GB|256 GB|India,,India,37500,Apple iPhone 12 Pro Max Mobile,iPhone_12_Pro_Max.jpg,0.01,10,20,27,2,3.5,5,,9,5,20,50,35,34,50,50,50,1,3.5,6,14,2,9,5,8,15,6,20,25,27,8,15,8,9,9,7,25,5,5,10,5,3,3,0.01,1
73,1,1,5,Apple iPhone 12 Pro Max,512 GB,6 GB,6 GB|512 GB|India,,India,41000,Apple iPhone 12 Pro Max Mobile,iPhone_12_Pro_Max.jpg,0.01,11,20,25,2,3.5,5,,9,5,20,50,35,30,50,50,50,1,3.5,6,14,2,9,5,8,15,6,20,25,27,8,15,8,9,9,7,25,5,5,10,5,3,3,0.01,1
44,1,1,6,Apple iPhone 13 Mini,128 GB,4 GB,4 GB|128 GB|India,,India,31300,Apple iPhone 13 Mini Mobile,Iphone13mini.jpg,0.01,10,18,22,1.5,4.25,7,,10,5,20,50,35,30,50,50,50,1.5,4.75,8,18,3,10,5,8,14,5,15,25,25,8,13,10,10,10,6,18,5,5,10,5,3,3,0.01,1
45,1,1,6,Apple iPhone 13 Mini,256 GB,4 GB,4 GB|256 GB|India,,India,33300,Apple iPhone 13 Mini Mobile,Iphone13mini.jpg,0.01,9,18,24,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,15,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
46,1,1,6,Apple iPhone 13 Mini,512 GB,4 GB,4 GB|512 GB|India,,India,37500,Apple iPhone 13 Mini Mobile,Iphone13mini.jpg,0.01,10,18,24,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,15,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
47,1,1,6,Apple iPhone 13,128 GB,6 GB,6 GB|128 GB|India,,India,29000,Apple iPhone 13 Mobile,Iphone13.jpg,0.01,10,18,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,15,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
48,1,1,6,Apple iPhone 13,256 GB,6 GB,6 GB|256 GB|India,,India,31000,Apple iPhone 13 Mobile,Iphone13.jpg,0.01,10,19,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,15,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
49,1,1,6,Apple iPhone 13,512 GB,6 GB,6 GB|512 GB|India,,India,33500,Apple iPhone 13 Mobile,Iphone13.jpg,0.01,10,19,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,15,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
26,1,1,6,Apple iPhone 13 Pro,512 GB,6 GB,6 GB|512 GB|India,,India,49500,Apple iPhone 13 Pro Mobile,iphone13pro.jpg,0.01,10,18,26,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,10,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
27,1,1,6,Apple iPhone 13 Pro,1 TB,6 GB,6 GB|1 TB|India,,India,51000,Apple iPhone 13 Pro Mobile,iphone13pro.jpg,0.01,11,18,26,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,10,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
74,1,1,6,Apple iPhone 13 Pro,128 GB,6 GB,6 GB|128 GB|India,,India,45500,Apple iPhone 13 Pro Mobile,iphone13pro.jpg,0.01,10,19,26,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
75,1,1,6,Apple iPhone 13 Pro,256 GB,6 GB,6 GB|256 GB|India,,India,48000,Apple iPhone 13 Pro Mobile,iphone13pro.jpg,0.01,13,19,26,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
28,1,1,6,Apple iPhone 13 Pro Max,128 GB,6 GB,6 GB|128 GB|India,,India,47500,Apple iPhone 13 Pro Max Mobile,Iph13ma.jpg,0.01,12,19,26,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,10,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
29,1,1,6,Apple iPhone 13 Pro Max,256 GB,6 GB,6 GB|256 GB|India,,India,50000,Apple iPhone 13 Pro Max Mobile,Iph13ma.jpg,0.01,10,19,26,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,10,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
30,1,1,6,Apple iPhone 13 Pro Max,512 GB,6 GB,6 GB|512 GB|India,,India,52000,Apple iPhone 13 Pro Max Mobile,Iph13ma.jpg,0.01,10,19,26,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,10,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
31,1,1,6,Apple iPhone 13 Pro Max,1 TB,6 GB,6 GB|1 TB|India,,India,56000,Apple iPhone 13 Pro Max Mobile,Iph13ma.jpg,0.01,12,19,26,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,10,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
88,1,1,8,Apple iPhone SE (2022),64 GB,4 GB,4 GB|64 GB|India,,India,12500,Apple iphone SE 2022 Mobile,IMG_6762.jpeg,0.01,11,17,24,3,6.5,10,,14,10,20,50,35,45,50,50,50,1,5.5,10,13,2,13,7,8,10,5,10,18,18,6,6,6,6,18,6,10,3,5,10,5,4,4,0.01,1
89,1,1,8,Apple iPhone SE (2022),256 GB,4 GB,4 GB|256 GB|India,,India,15500,Apple iphone SE 2022 Mobile,iPhone_SE2020.jpg,0.01,10,16,25,3,6.5,10,,14,10,20,50,35,45,50,50,50,1,5.5,10,13,2,13,7,8,10,5,10,18,18,6,6,6,6,18,6,10,3,5,10,5,4,4,0.01,1
92,1,1,8,Apple iPhone SE (2022),128 GB,4 GB,4 GB|128 GB|India,,India,14500,Apple iphone SE 2022 Mobile,iphnese2022.jpg,0.01,11,16,26,2,6,10,,7,6,20,50,35,45,50,50,50,1,4,7,7,1,10,5,7,13,6,10,35,25,9,10,7,8,8,7,25,3,5,10,5,3,3,0.01,1
76,1,1,7,Apple iPhone 14,128 GB,6 GB,6 GB|128 GB|India,,India,31500,Apple iPhone 14 Mobile,iphone14.jpg,0.01,8,15,20,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
77,1,1,7,Apple iPhone 14,256 GB,6 GB,6 GB|256 GB|India,,India,34000,Apple iPhone 14 Mobile,iphone14.jpg,0.01,8,15,20,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
78,1,1,7,Apple iPhone 14,512 GB,6 GB,6 GB|512 GB|India,,India,37000,Apple iPhone 14 Mobile,iphone14.jpg,0.01,8,15,20,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
79,1,1,7,Apple iPhone 14 Plus,256 GB,6 GB,6 GB|256 GB|India,,India,37000,Apple iPhone 14 Plus Mobile,iphone14plus.jpg,0.01,8,15,20,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
80,1,1,7,Apple iPhone 14 Plus,512 GB,6 GB,6 GB|512 GB|India,,India,40000,Apple iPhone 14 Plus Mobile,iphone14plus.jpg,0.01,8,15,19,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
90,1,1,7,Apple iPhone 14 Plus,128 GB,6 GB,6 GB|128 GB|India,,India,35000,Apple iPhone 14 Plus Mobile,iphone14plus.jpg,0.01,8,15,19,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,15,23,23,7,12,9,9,9,5,16,4,5,10,5,4,4,0.01,1
81,1,1,7,Apple iPhone 14 Pro,128 GB,6 GB,6 GB|128 GB|India,,India,57500,Apple iPhone 14 Pro Mobile,iphone14pro.jpg,0.01,10,18,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
82,1,1,7,Apple iPhone 14 Pro,256 GB,6 GB,6 GB|256 GB|India,,India,60000,Apple iPhone 14 Pro Mobile,iphone14pro.jpg,0.01,11,18,25,1.5,3.75,6,,19,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
83,1,1,7,Apple iPhone 14 Pro,512 GB,6 GB,6 GB|512 GB|India,,India,63000,Apple iPhone 14 Pro Mobile,iphone14pro.jpg,0.01,11,18,25,1.5,3.75,6,,15,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
84,1,1,7,Apple iPhone 14 Pro,1 TB,6 GB,6 GB|1 TB|India,,India,64500,Apple iPhone 14 Pro Mobile,iphone14pro.jpg,0.01,11,18,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
85,1,1,7,Apple iPhone 14 Pro Max,256 GB,6 GB,6 GB|256 GB|India,,India,64000,Apple iphone 14 Pro max Mobile,iphone14mx.jpg,0.01,10,19,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
86,1,1,7,Apple iPhone 14 Pro Max,512 GB,6 GB,6 GB|512 GB|India,,India,65000,Apple iPhone 14 Pro max Mobile,iphone14mx.jpg,0.01,11,18,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
87,1,1,7,Apple iPhone 14 Pro Max,1 TB,6 GB,6 GB|1 TB|India,,India,68000,Apple iPhone 14 Pro max Mobile,iphone14mx.jpg,0.01,11,18,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,10,5,2,2,0.01,1
91,1,1,7,Apple iPhone 14 Pro Max,128 GB,6 GB,6 GB|128 GB|India,,India,61000,Apple iphone 14 Pro max Mobile,iphone14mx.jpg,0.01,10,19,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,15,23,23,7,12,9,9,9,5,16,4,5,10,5,3,3,0.01,1
1341,1,1,181,Apple iPhone 15,128 GB,6 GB,6 GB|128 GB|India,,India,39500,Apple iPhone 15 Mobile,IMG_6757.jpeg,0.01,8,18,22,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,,,2,2,0.01,1
1342,1,1,181,Apple iPhone 15,256 GB,6 GB,6 GB|256 GB|India,,India,43500,Apple iPhone 15 Mobile,Apple_iPhone_15.jpg,0.01,8,18,22,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,,,2,2,0.01,1
1343,1,1,181,Apple iPhone 15,512 GB,6 GB,6 GB|512 GB|India,,India,46000,Apple iPhone 15 Mobile,Apple_iPhone_15.jpg,0.01,8,17,22,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,,,2,2,0.01,1
1344,1,1,181,Apple iPhone 15 Plus,128 GB,6 GB,6 GB|128 GB|India,,India,45500,Apple iPhone 15 Plus Mobile,Apple_iPhone_15_Plus.jpg,0.01,9,18,25,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,,,2,2,0.01,1
1345,1,1,181,Apple iPhone 15 Plus,256 GB,6 GB,6 GB|256 GB|India,,India,48500,Apple iPhone 15 Plus Mobile,Apple_iPhone_15_Plus.jpg,0.01,9,18,24,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,,,2,2,0.01,1
1346,1,1,181,Apple iPhone 15 Plus,512 GB,6 GB,6 GB|512 GB|India,,India,50000,Apple iPhone 15 Plus Mobile,Apple_iPhone_15_Plus.jpg,0.01,9,18,24,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,,,2,2,0.01,1
1347,1,1,181,Apple iPhone 15 Pro,128 GB,8 GB,8 GB|128 GB|India,,India,59000,Apple iPhone 15 Pro Mobile,IMG_6758.jpeg,0.01,9,15,20,1.5,3.75,6,,9,4,20,50,35,29,50,50,50,1.5,4.25,7,17,2.5,9,5,7,13,4,20,23,23,7,12,9,9,9,5,16,4,5,,,2,2,0.01,1
